PHR Address,Snapshot 1,Snapshot 2,Snapshot 3,Snapshot 4,Snapshot 5,Snapshot 6
PDbHc82UzHF7nkjH62DNPj6WXQhDHadfTz,20000.00000000,20000.00000000,20000.00000000,20000.00000000,20000.00000000,20000.00000000
PL6ttMnToAVXxiFfHvsfzcZjRotL3hdB1m,19719.06368828,19806.00368828,19961.52368828,20040.36368828,20125.68368828,20259.60368828
PU44jS4ZivQrtdQKfkpECuFxevsZKUGvEB,19840.81709982,19840.81709982,19840.81709982,19840.81709982,19840.81709982,19840.81709982
PEZmrZdpGu28LANArrD9Ruj9VKT34QEcPB,19793.96899047,19793.96899047,19793.96899047,19793.96899047,19793.96899047,19793.96899047
PLwYAJm5WpFqNWFRN7EeUxpvoWSgoMXQBd,19777.36134994,19777.36134994,19777.36134994,19777.36134994,19777.36134994,19777.36134994
PL4QwcL67DjVgNQswi9VMNebbQEArT7QE4,19652.00000000,19652.00000000,19652.00000000,19652.00000000,19652.00000000,19652.00000000
PMobMjDhu43eF2fw9Tf9idCvjaaDD5Mkda,19412.12196741,19412.12196741,19412.12196741,19412.12196741,19412.12196741,19412.12196741
PADt9T5gn1SpXkXyxPFYAoDuG2PGtuYBCq,19393.47946689,19393.47946689,19393.47946689,19393.47946689,19393.47946689,19393.47946689
PETDoFih3xNdDH4QMkpQu5J7boxr7FJkdf,19390.34952624,19390.34952624,19390.34952624,19390.34952624,19390.34952624,19390.34952624
PT35QvxCLieVGAy5SLzjXu4y7CSu41W3LG,19016.18045349,19260.26045349,19313.18045349,19336.94045349,19336.94045349,19336.94045349
PQtqffix4iYwfmqDSUtg7twX8CB9Zkxjkz,18952.15336185,18952.15336185,18952.15336185,18952.15336185,18952.15336185,18952.15336185
PQwrD4Cd1aD7DRZxiHz8pvt2RAZJd5YBma,18249.61465346,18433.21465346,18589.81465346,18722.65465346,18892.21465346,18954.85465346
PV7bXq66FbGUSwtZRcooCgTV4qqPA9wEDG,18532.12624832,18532.12624832,18532.12624832,18532.12624832,18532.12624832,18532.12624832
PS4Gtr8ijCbaGNXa7PimGJjZRj11uvAS3o,18935.64866517,5681.92953283,23028.15270535,10463.50616536,0.00000000,52476.66817223
PEsmkFEjbp5mv53XphbHM1UYJXUGsYDXRE,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,108989.54257426
PNdRR6B4R4uXDWKm9M4q7MzGiWZgW1wH2x,18067.11000000,18067.11000000,18067.11000000,18067.11000000,18067.11000000,18067.11000000
PCT6NpP4a45NT3xaKB7JmHcYrZSdpcoz6m,17723.42314132,17729.90314132,17729.90314132,17729.90314132,17729.90314132,17729.90314132
PJPT8NgcodFuv97t27YqbgJbkcz6ojbwrG,13584.68000000,3375.00000000,9893.36000000,26486.88000000,26496.60000000,26511.72000000
PQsTUr2U29JcEND8GDuJUPc5LyTJXmbaz6,0.00000000,0.00000000,0.00000000,10.00000000,69770.92000000,36038.15000000
PLhYGV6PRojUqGpF7RFUqzniZUrLwJSLpQ,17538.92774800,17538.92774800,17538.92774800,17538.92774800,17538.92774800,17538.92774800
PJWMUAWwg6VuijtTug5qU8NcCsgiJ2nVAp,26310.46998080,19055.57998080,17495.81998080,17523.89998080,15124.31998080,8439.23998080
PKaS4zZfjcki6vQveMrbdpSpfDifY9mnA8,25944.80997161,25944.80997161,25944.80997161,25944.80997161,0.00000000,0.00000000
PKc1WLTMj9Ln5GVio1B7DsVZJHeudiVGhm,16657.59048905,16828.23048905,17029.11048905,17223.51048905,17437.35048905,17590.71048905
PKSXLkBFW59xd2pkRQ9NUKE9cVcQEMTUHq,16797.18478190,16913.82478190,17019.12478190,17122.80478190,17229.72478190,17338.26478190
P8eLwFUeMKwU8jVCNPWMUnEoabateC6L4H,16792.92465208,16907.94465208,17016.48465208,17125.02465208,17225.46465208,17334.00465208
PHtbR23LSoPfaZ4s7TuBqGA6g73droFERL,16779.06436583,16890.84436583,17001.00436583,17109.54436583,17213.22436583,17326.62436583
